StudyID	FileName in DB	Aims	Dataset details	Data imbalance?	Architecture	Hyperparameter	#ofPerf Metrics	ComparedModels	StatisticalTests	Limitations/TtV	Total	Qualified
136	[142]2019 - Qiu - Cross-Project Defect Prediction via Transferable Deep Learning-Generated and Handcrafted Features	1	1	1	1	1	1	1	1	1	9	1
137	[143]2019 -  Ziyi Cai - An Abstract Syntax Tree Encoding Method for Cross-Project Defect Prediction	1	1	1	1	1	1	1	1	0.5	8.5	1
138	[144]2019 -  Rahul Yedida - On the Value of Oversampling for Deep Learning in Software Defect Prediction	1	1	1	1	1	1	1	1	1	9	1
139	[145]2023 - Farid Feyzi - Studying the effectiveness of deep active learning in software defect prediction	1	1	1	1	1	1	1	1	1	9	1
140	[146]2021 - Zuhaira Muhammad Zain - Software Defect Prediction Harnessing on Multi 1-Dimensional Convolutional Neural Network Structure	1	1	1	1	1	1	1	0.5	1	8.5	1
141	[147]2019 - Linchang Zhao - Software defect prediction via cost-sensitive Siamese parallel fully-connected neural networks	1	1	1	1	1	1	1	1	1	9	1
142	[148]2022 - Vijay Walunj - Defect prediction using deep learning with Network Portrait Divergence for software evolution	1	1	1	1	1	1	1	1	1	9	1
143	[149]2023 - Ruckmani - SMAN2- Soft-Max Multilayer Adversarial Neural Network-Based Cross-Project Software Defect Prediction	1	1	1	1	1	1	1	1	1	9	1
144	[150]2019 - Zhou Xu - LDFR Learning deep feature representation for software defect prediction	1	1	1	1	1	1	1	1	1	9	1
145	[151]2023 - Rohit Vashisht - Feature Engineering to Heterogeneous Cross Software Projects Defect Prediction A Novel Framework	1	1	1	1	0.5	1	1	0	1	7.5	1
146	[152]2021 - Nana Zhang - WGNCS A robust hybrid cross-version defect model via multi-objective optimization and deep enhanced feature representation	1	1	1	1	1	1	1	1	1	9	1
147	[153]2022 - Anbu - Improved mayfly optimization deep stacked sparse auto encoder feature selection scorched gradient descent driven dropout XLM learning framework for software defect prediction	1	0.5	0.5	1	0.5	0.5	0.5	0	0.5	5	1
148	[154]2021 - Nevendra - Software defect prediction using deep learning	1	1	0.5	1	0.5	1	1	1	0.5	7.5	1
149	[155]2024 - Waleed Albattah - Software Defect Prediction Based on Machine Learning and Deep Learning Techniques An Empirical Approach	1	1	0.5	0.5	0.5	1	0.5	0	0.5	5.5	1
150	[156]2022 - Kamal Kant Sharma - Software Defect Prediction using Deep Learning by Correlation Clustering of Testing Metrics	1	1	0.5	1	1	1	1	0	0.5	7	1
151	[157]2022 - Manzura Jorayeva - Deep Learning-Based Defect Prediction for Mobile Applications	1	1	1	1	0.5	1	1	0.5	1	8	1
152	[158]2024 - Sahana Shankar - Analysis of Bio Inspired Based Hybrid Learning Model for Software Defect Prediction	1	1	1	1	0.5	1	1	0	0.5	7	1
153	[159]2024 - Meetesh Nevendra - Meta network attention-based feature matching for heterogeneous defect prediction	1	1	1	1	1	1	1	0.5	1	8.5	1
154	[160]2022 - Zhehao Zhao - Precise Learning of Source Code Contextual Semantics via Hierarchical Dependence Structure and Graph Attention Networks	1	1	0.5	1	0.5	1	1	0	1	7	1
155	[161]2024 - Jiarui Fan - Deep Learning-Based Automated Software Defect Prediction Model	1	1	0.5	1	1	1	0.5	0	0.5	6.5	1
